,name,price_type,rating,rating_count,url,click,view
59,(unofficial)slendermantheeightpagesvr,free,3.99,84,https://sidequestvr.com/app/787/unofficial-slenderman-the-eight-pages-vr,97.3k,203.4k
60,let'sgochopping!-earlyaccessdemo,demo,4.61,121,https://sidequestvr.com/app/1585/lets-go-chopping-early-access-demo,90.2k,268k
61,quake2quest,opensource,4.9,80,https://sidequestvr.com/app/353/quake2quest,93k,249.8k
62,birdrunners,free,4.18,228,https://sidequestvr.com/app/7310/bird-runners,80.7k,107.7k
63,questapplauncher,free,4.11,45,https://sidequestvr.com/app/199/quest-app-launcher,95.6k,216.6k
64,weareonedemo,prerelease,4.92,248,https://sidequestvr.com/app/724/we-are-one-demo,74.9k,212.8k
65,returntocastlewolfensteinvr,opensource,4.81,131,https://sidequestvr.com/app/1446/return-to-castle-wolfenstein-vr,85.6k,205.7k
66,carparkingsimulator,paid,4.67,55,https://sidequestvr.com/app/812/car-parking-simulator,92.5k,250.3k
67,missionx,free,4.11,27,https://sidequestvr.com/app/474/mission-x,92.6k,340.8k
68,highseas,free,4.24,90,https://sidequestvr.com/app/359/high-seas,82.3k,190.2k
69,vrworkout-bootcamp,free,4.65,77,https://sidequestvr.com/app/413/vrworkout-bootcamp,82.6k,217.4k
70,operationserpens,paid,4.75,362,https://sidequestvr.com/app/1197/operation-serpens,53.6k,237.7k
71,verticalshift,free,4.59,44,https://sidequestvr.com/app/3174/vertical-shift,82.9k,217.3k
72,ultrarealrunner:spacemission(naturallocomotionfitnessworkout),paid,4.8,15,https://sidequestvr.com/app/5151/ultra-real-runner-space-mission-natural-locomotion-fitness-workout,82k,132.6k
73,gizmovrvideoplayer,free,2.3,10,https://sidequestvr.com/app/2442/gizmovr-video-player,82.1k,124k
74,enhancevr-newgameandcontent!,free,4.44,52,https://sidequestvr.com/app/307/enhance-vr-new-game-and-content,77.6k,236.7k
75,all-in-onesportsvr,paid,4.56,41,https://sidequestvr.com/app/4908/all-in-one-sports-vr,77.5k,146.8k
