name,price_type,rating,rating_count,url,click,view
pick-upleaguehockey,paid,4.35,37.0,https://sidequestvr.com/app/22/pick-up-league-hockey,102.9k,192.4k
(unofficial)slendermantheeightpagesvr,free,3.99,84.0,https://sidequestvr.com/app/787/unofficial-slenderman-the-eight-pages-vr,97.3k,203.6k
let'sgochopping!-earlyaccessdemo,demo,4.61,121.0,https://sidequestvr.com/app/1585/lets-go-chopping-early-access-demo,90.3k,268.4k
quake2quest,opensource,4.9,80.0,https://sidequestvr.com/app/353/quake2quest,93k,249.9k
birdrunners,free,4.18,228.0,https://sidequestvr.com/app/7310/bird-runners,80.8k,107.8k
questapplauncher,free,4.11,45.0,https://sidequestvr.com/app/199/quest-app-launcher,95.6k,216.7k
weareonedemo,prerelease,4.92,248.0,https://sidequestvr.com/app/724/we-are-one-demo,75k,212.9k
returntocastlewolfensteinvr,opensource,4.81,131.0,https://sidequestvr.com/app/1446/return-to-castle-wolfenstein-vr,85.6k,205.9k
carparkingsimulator,paid,4.67,55.0,https://sidequestvr.com/app/812/car-parking-simulator,92.6k,250.5k
missionx,free,4.11,27.0,https://sidequestvr.com/app/474/mission-x,92.6k,341.1k
highseas,free,4.24,90.0,https://sidequestvr.com/app/359/high-seas,82.3k,190.4k
vrworkout-bootcamp,free,4.65,77.0,https://sidequestvr.com/app/413/vrworkout-bootcamp,82.6k,217.5k
operationserpens,paid,4.75,362.0,https://sidequestvr.com/app/1197/operation-serpens,53.6k,237.7k
verticalshift,free,4.59,44.0,https://sidequestvr.com/app/3174/vertical-shift,82.9k,217.5k
ultrarealrunner:spacemission(naturallocomotionfitnessworkout),paid,4.8,15.0,https://sidequestvr.com/app/5151/ultra-real-runner-space-mission-natural-locomotion-fitness-workout,82k,132.6k
gizmovrvideoplayer,free,2.3,10.0,https://sidequestvr.com/app/2442/gizmovr-video-player,82.1k,124.1k
enhancevr-newgameandcontent!,free,4.44,52.0,https://sidequestvr.com/app/307/enhance-vr-new-game-and-content,77.6k,236.7k
all-in-onesportsvr,paid,4.56,41.0,https://sidequestvr.com/app/4908/all-in-one-sports-vr,77.6k,146.9k
carrieraircraft,free,4.06,36.0,https://sidequestvr.com/app/6087/carrier-aircraft,77.2k,155.5k
crazykungfu-demo,demo,4.74,112.0,https://sidequestvr.com/app/1051/crazy-kung-fu-demo,67.8k,167.6k
tothetop,paid,4.74,62.0,https://sidequestvr.com/app/358/to-the-top,70.9k,356.1k
grab,prerelease,4.61,41.0,https://sidequestvr.com/app/4222/grab,72.4k,180k
rangedayvr,paid,4.43,46.0,https://sidequestvr.com/app/583/range-day-vr,71.4k,221.1k
nomorerainbows,free,4.82,116.0,https://sidequestvr.com/app/5818/no-more-rainbows,63.2k,116k
quakequest,free,4.76,62.0,https://sidequestvr.com/app/93/quakequest,68.1k,150.7k
handspace,free,4.07,45.0,https://sidequestvr.com/app/578/handspace,69.3k,168.6k
cards&tankards,free,4.88,268.0,https://sidequestvr.com/app/3732/cards-tankards,46.4k,146.4k
customhome:fnaf1office,free,3.97,35.0,https://sidequestvr.com/app/6605/custom-home-fnaf-1-office,68.9k,110k
shootingarena,prerelease,4.83,171.0,https://sidequestvr.com/app/1072/shooting-arena,53.1k,107.8k
zenvr,paid,4.18,28.0,https://sidequestvr.com/app/5026/zenvr,66k,133.2k
waryards,prerelease,4.48,56.0,https://sidequestvr.com/app/1355/war-yards,63.3k,228.7k
projectstardust,free,3.67,18.0,https://sidequestvr.com/app/1697/project-stardust,66.7k,199.4k
petsvr,paid,4.28,25.0,https://sidequestvr.com/app/2903/pets-vr,65.7k,213.2k
cosmicflow:arelaxingvrexperience,free,4.77,111.0,https://sidequestvr.com/app/567/cosmic-flow-a-relaxing-vr-experience,56.9k,130.1k
barbershopsimulator,paid,3.93,40.0,https://sidequestvr.com/app/3915/barbershop-simulator,63.8k,105k
